model,asset,q_v_stat,a_hat,b_hat,loc_magnitude,scale_magnitude,scale_share,mean_raw,R,replacement
Chronos-Small,ASX200,0.026479514057737817,0.019407523236178482,3.285936495712674,0.019407523236178482,0.004435770244674892,0.1860384870167748,0.0019560832323438073,13.537007842968768,True
Chronos-Small,AUDUSD,0.021631863257192623,0.018998955175319247,2.6989691461715317,0.018998955175319247,0.002542944995827775,0.1180464571660102,0.001509569436677155,14.329823280476852,True
Chronos-Small,BOVESPA,0.0418381945086304,0.03509297436510876,2.5335150009272636,0.03509297436510876,0.005381071191164488,0.13295115714792816,0.00352264474710536,11.876927000092708,True
Chronos-Small,BTC,0.10761549021774856,0.11083341793082535,0.17101212468755067,0.11083341793082535,0.004400894106087843,0.0381908307369258,0.005521669457426757,19.489665407805887,True
Chronos-Small,FCHI,0.036039821760051584,0.026222519991697307,3.5984322129863093,0.026222519991697307,0.008038765687304855,0.23463117416611143,0.003097988786845613,11.633296386701097,True
Chronos-Small,CBU0,0.008038061683034886,0.00820175846445696,0.6597760874593372,0.00820175846445696,0.00024184167921891336,0.0286420099369638,0.0007144630681843554,11.25049290995794,True
Chronos-Small,DJCI,0.01857924247195986,0.018859477864482763,0.9253953199258033,0.018859477864482763,0.0001808957784414527,0.009500642258072345,0.0024249571695787718,7.6616786081987485,True
Chronos-Small,ETH,0.12616460281247144,0.10447420845038904,3.2400752932472576,0.10447420845038904,0.01781563365874517,0.14568367536893292,0.007959757924568631,15.850306505308547,True
Chronos-Small,EURUSD,0.015414008109286406,0.01238399543394781,2.7018043849095363,0.01238399543394781,0.002440629743569484,0.16463348748074186,0.0014343846728247312,10.74607697733665,True
Chronos-Small,FTSE100,0.030329217709992418,0.021285841661334917,4.13785880499505,0.021285841661334917,0.007372135051973143,0.25724548267043934,0.0023644736061435643,12.827048536802703,True
Chronos-Small,GBPUSD,0.015203177062875935,0.011083048426439809,4.14299138259009,0.011083048426439809,0.004505125029187047,0.28900916723895154,0.0014343407436456668,10.599417976675465,True
Chronos-Small,GDAXI,0.039583067493618763,0.028431694131455916,3.511414203300504,0.028431694131455916,0.007050489633261408,0.198705065054994,0.0028133926380053695,14.069514137096146,True
Chronos-Small,GOLD,0.031126434335503515,0.031015955731805753,1.0325908556169776,0.031015955731805753,5.972306067031849e-05,0.0019218586042528674,0.0018579946533296744,16.752703932555708,True
Chronos-Small,HSI,0.038906545780363636,0.027982275194638497,3.7956898492640705,0.027982275194638497,0.008056292679747482,0.22354641582395965,0.0029044442689990777,13.395521544564362,True
Chronos-Small,IBGL,0.019096905566302277,0.019584343122752104,0.6242840782950743,0.019584343122752104,0.00045683196498021026,0.02279466962293284,0.0012283061394858087,15.547350088388054,True
Chronos-Small,ICLN,0.04212352727056173,0.044571051932579736,-0.017817104490718612,0.044571051932579736,0.0035750286680149607,0.07425378397199796,0.003517314865369474,11.976046752395847,True
Chronos-Small,NATGAS,0.07054923311252861,0.07206968695557346,0.8481944900248553,0.07206968695557346,0.0014854620732273826,0.020195215329463112,0.009785297473527797,7.2097177733621,True
Chronos-Small,NIFTY,0.0242198267630135,0.019775781082818807,3.380982192078052,0.019775781082818807,0.005127503908458772,0.20589668833869465,0.002206373955463917,10.97720842064644,True
Chronos-Small,NIKKEI,0.038378394714549076,0.02784706404012438,4.368001439995299,0.02784706404012438,0.00993376482760006,0.26293136295075614,0.0029513006794265814,13.003891803394884,True
Chronos-Small,SP500,0.03116672240790403,0.018547926421577855,6.358898496858078,0.018547926421577855,0.011397695628464972,0.3806130862607568,0.002131796806359556,14.619931090490313,True
Chronos-Small,STOXX,0.034435598743315726,0.026291285094999242,4.909644153467053,0.026291285094999242,0.007824159833093187,0.22934362572684394,0.002018412095688641,17.060737406831187,True
Chronos-Small,TLT,0.019462675096885023,0.01580110600928835,2.841600063939387,0.01580110600928835,0.0032118326477608003,0.16892878611218765,0.001745684560867013,11.149021726593421,True
Chronos-Small,USDJPY,0.016733083111953113,0.01556822206482572,1.998046945720219,0.01556822206482572,0.0014478385060941322,0.08508658629062843,0.0014514702084905153,11.528368280706918,True
Chronos-Small,WTI,0.05519727078867386,0.041347076041031924,3.19085190581795,0.041347076041031924,0.011253684591363113,0.2139452824648385,0.00516052943220266,10.696048053564557,True
Chronos-Mini,ASX200,0.025212723744431523,0.022224584574354507,2.436952239345845,0.022224584574354507,0.0019029918602926608,0.07887206845856126,0.0014208745029035234,17.744511350516824,True
Chronos-Mini,AUDUSD,0.022505440541051823,0.019630414564812498,3.4653842784303235,0.019630414564812498,0.0025225160341887454,0.11386827683658578,0.0010438296462222418,21.5604534921019,True
Chronos-Mini,BOVESPA,0.043729029913938094,0.03653636210117094,3.0794010133367578,0.03653636210117094,0.004475003468782072,0.10911617807871007,0.0021886315702726407,19.980078194929224,True
Chronos-Mini,BTC,0.1093308046365461,0.11036523097279201,0.13541026227694036,0.11036523097279201,0.0034749021224758174,0.03052440319590828,0.004078297026828801,26.807955359141523,True
Chronos-Mini,FCHI,0.0378795796003128,0.03080246243111065,3.2798123287539434,0.03080246243111065,0.004970757422165145,0.13895191549859798,0.0021922547940161803,17.278821651436758,True
Chronos-Mini,CBU0,0.008317245147305714,0.008375286695830101,0.34665192305643555,0.008375286695830101,0.0002815841121130443,0.03252723973363166,0.000432182968182165,19.244731420790274,True
Chronos-Mini,DJCI,0.019775894804161705,0.020739716535340614,0.5125128535068311,0.020739716535340614,0.0008045703891247934,0.037344953302266594,0.0016515928147898588,11.973831943969737,True
Chronos-Mini,ETH,0.1312263188759762,0.1449646240437657,-3.176682138719216,0.1449646240437657,0.020758204396866545,0.12525856933646812,0.004974247155376682,26.381141663645156,True
Chronos-Mini,EURUSD,0.01622539326522643,0.014523787584087781,2.0164568739037394,0.014523787584087781,0.0009690770911725419,0.06254989709682329,0.0009557895987218691,16.975904829811768,True
Chronos-Mini,FTSE100,0.030749208822588116,0.023539014787737594,5.315017000520236,0.023539014787737594,0.007480947052587635,0.24116557883261408,0.001744357072111623,17.6278179016208,True
Chronos-Mini,GBPUSD,0.015332036362671955,0.012165170514085815,3.736641832732923,0.012165170514085815,0.002652586460331296,0.1790140346417472,0.0009760859482512927,15.707670405603189,True
Chronos-Mini,GDAXI,0.0411064567169019,0.029486646760368294,4.17010204336041,0.029486646760368294,0.006502777633891064,0.18068579154403805,0.0020768061617605733,19.793111881974905,True
Chronos-Mini,GOLD,0.03167960736979117,0.0321390176127399,-0.5009943362147913,0.0321390176127399,0.00160740332781865,0.04763181644210372,0.0011583264093429993,27.349464809111783,True
Chronos-Mini,HSI,0.03768070967099364,0.029948349894350464,4.173167026947482,0.029948349894350464,0.00620684422421709,0.17167226938022595,0.0020229732147912815,18.62640068364984,True
Chronos-Mini,IBGL,0.019918195424019333,0.019767014376019475,1.0687918168572745,0.019767014376019475,5.016390439570828e-05,0.0025313343648567764,0.000749638041544384,26.570417081534984,True
Chronos-Mini,ICLN,0.042703255140236755,0.04338572884713559,0.4637629234364431,0.04338572884713559,0.0013077756519360366,0.029260978001024774,0.002449842408090816,17.431021276799505,True
Chronos-Mini,NATGAS,0.07638513391380006,0.08056503469512431,0.20553554524977313,0.08056503469512431,0.004497655737820892,0.052874600073535026,0.005666980635609351,13.478982693856802,True
Chronos-Mini,NIFTY,0.02596414856642934,0.023030054471702,2.7391295353678418,0.023030054471702,0.0026012837689020738,0.10148841018301692,0.001552072714393015,16.728693395388635,True
Chronos-Mini,NIKKEI,0.039270611287087094,0.036686081464833015,3.4430740891662994,0.036686081464833015,0.00443291172091589,0.10780691299737992,0.0018422458091589783,21.31670545366305,True
Chronos-Mini,SP500,0.03242629503592577,0.024646601544180805,5.197360999985255,0.024646601544180805,0.006416327576226055,0.20655900000141436,0.001554453753174002,20.86025072776549,True
Chronos-Mini,STOXX,0.03590803355319631,0.028242228217154212,4.861590713344894,0.028242228217154212,0.006017340723920834,0.17563970913558183,0.0015829764464702514,22.683871028697027,True
Chronos-Mini,TLT,0.020034603633416286,0.018590766974152385,1.9482417063363675,0.018590766974152385,0.0009887541310392013,0.05049940321456735,0.0010630922928714895,18.845592022214145,True
Chronos-Mini,USDJPY,0.016922191158423323,0.016558440634184605,2.2781936445737525,0.016558440634184605,0.0011661994871777516,0.06579538310468754,0.0009177360524157227,18.439061115534976,True
Chronos-Mini,WTI,0.05598975664497916,0.049062167333770355,2.843129947247297,0.049062167333770355,0.006692882212370843,0.1200408262005402,0.00368145302918743,15.20860274491597,True
TimesFM-2.5,ASX200,0.0745283561164955,0.006821044697826527,-0.7964229427991122,0.006821044697826527,0.04007026871235944,0.8545350044226993,0.022305587263277544,3.341241601793381,True
TimesFM-2.5,AUDUSD,0.06670114506364755,-0.0016919429701598011,-1.2024613904488826,0.0016919429701598011,0.04167805279452286,0.9609881684254717,0.018923397692809714,3.524797509751214,True
TimesFM-2.5,BOVESPA,0.12406456728674363,0.0022233805786653557,-0.9665716802063251,0.0022233805786653557,0.07965937877970963,0.9728467800048808,0.04050672527296441,3.062814050030073,True
TimesFM-2.5,BTC,0.25608634028945076,0.08301752539628973,-0.277732290552977,0.08301752539628973,0.13127503717004022,0.6125972623497219,0.10274064304442598,2.4925514645525113,True
TimesFM-2.5,FCHI,0.10204240881087168,0.009578632224249012,-0.8076843619506162,0.009578632224249012,0.059194977168040605,0.8607222696483501,0.03274630151923488,3.116150651423425,True
TimesFM-2.5,CBU0,0.021704332439975018,0.0030922787684246923,-0.6130956267339671,0.0030922787684246923,0.011723593977445618,0.7912860874640938,0.007267761305126322,2.9863848754451867,True
TimesFM-2.5,DJCI,0.04900952321007286,0.01196378958772719,-0.37072324092782993,0.01196378958772719,0.031342019516141954,0.7237370728016651,0.022865315608807234,2.143400250779632,True
