model,asset,method,DQ,p_DQ,DQ_rank
Moirai-1.1,ASX200,Raw,122.0518372574026,6.03961940358967e-24,6
Moirai-1.1,ASX200,Conformal,128.85688222202072,2.2371141053051166e-25,6
Moirai-1.1,ASX200,Scale,118.41102198432569,3.5134645375857054e-23,6
Moirai-1.1,ASX200,QR-Residual,132.58496102611693,3.6689390513332855e-26,6
Moirai-1.1,ASX200,Isotonic,113.51020699933972,3.74845797126076e-22,6
Moirai-1.1,ASX200,Hist-Quantile,,,5
Moirai-1.1,ASX200,aci,37.232267344769745,1.5864992895738903e-06,6
Moirai-1.1,ASX200,rolling,48.155510487668124,1.1000213251503495e-08,6
Moirai-1.1,ASX200,gamlss,174.76577770960395,4.3838485320653303e-35,6
Moirai-1.1,ASX200,gbm,47.47149236371235,1.506696096999372e-08,6
Moirai-1.1,AUDUSD,Raw,8.906184590849234,0.17892333589399526,6
Moirai-1.1,AUDUSD,Conformal,5.512290233219641,0.47997250925446144,6
Moirai-1.1,AUDUSD,Scale,8.906184590849229,0.17892333589399562,6
Moirai-1.1,AUDUSD,QR-Residual,5.512290233219653,0.4799725092544601,6
Moirai-1.1,AUDUSD,Isotonic,4.757563372604513,0.5752620751567843,6
Moirai-1.1,AUDUSD,Hist-Quantile,,,5
Moirai-1.1,AUDUSD,aci,23.350022512352197,0.0006873352657200138,6
Moirai-1.1,AUDUSD,rolling,14.40409091148914,0.02543395436034632,6
Moirai-1.1,AUDUSD,gamlss,12.530114201581222,0.05113515672839989,6
Moirai-1.1,AUDUSD,gbm,6.826224079671667,0.3372174365653431,6
Moirai-1.1,BOVESPA,Raw,73.00447857655779,9.878067522158358e-14,6
Moirai-1.1,BOVESPA,Conformal,118.3614741735563,3.598631317381683e-23,6
Moirai-1.1,BOVESPA,Scale,94.24029619557788,3.9791574581975345e-18,6
Moirai-1.1,BOVESPA,QR-Residual,99.8025577434369,2.758956965545058e-19,6
Moirai-1.1,BOVESPA,Isotonic,113.55000115574708,3.6771432498395427e-22,6
Moirai-1.1,BOVESPA,Hist-Quantile,,,5
Moirai-1.1,BOVESPA,aci,82.74979423044083,9.650273139852146e-16,6
Moirai-1.1,BOVESPA,rolling,75.82205251043355,2.5992772976796396e-14,6
Moirai-1.1,BOVESPA,gamlss,13.103625995087299,0.04141955628891547,6
Moirai-1.1,BOVESPA,gbm,101.78502656134309,1.0641503068877899e-19,6
Moirai-1.1,BTC,Raw,45.56146049772703,3.619446906421748e-08,6
Moirai-1.1,BTC,Conformal,3.8724893696374543,0.6939271649877585,6
Moirai-1.1,BTC,Scale,3.207393195452643,0.7824027472930078,6
Moirai-1.1,BTC,QR-Residual,8.175037450188546,0.2255581033557365,6
Moirai-1.1,BTC,Isotonic,3.6309843092254086,0.7264690612466311,6
Moirai-1.1,BTC,Hist-Quantile,,,5
Moirai-1.1,BTC,aci,14.52805572904307,0.024262715134471178,6
Moirai-1.1,BTC,rolling,7.39325204453577,0.2860045425610068,6
Moirai-1.1,BTC,gamlss,8.048659891139712,0.234559997094673,6
Moirai-1.1,BTC,gbm,9.714232509415186,0.13721367832985004,6
Moirai-1.1,CBU0,Raw,16.428347755119965,0.011630485301651719,6
Moirai-1.1,CBU0,Conformal,3.9638834124148015,0.6815641313657068,6
Moirai-1.1,CBU0,Scale,6.628123439131094,0.356610291689049,6
Moirai-1.1,CBU0,QR-Residual,7.733995033933761,0.2582464343047301,6
Moirai-1.1,CBU0,Isotonic,11.078080279337373,0.08599303586963519,6
Moirai-1.1,CBU0,Hist-Quantile,,,5
Moirai-1.1,CBU0,aci,13.208951934603625,0.03983520199537494,6
Moirai-1.1,CBU0,rolling,24.296686710630365,0.00046053059480251514,6
Moirai-1.1,CBU0,gamlss,54.19051982758748,6.752492261615607e-10,6
Moirai-1.1,CBU0,gbm,42.32639953354245,1.585102263125957e-07,6
Moirai-1.1,DJCI,Raw,49.68123042643992,5.446073509230618e-09,6
Moirai-1.1,DJCI,Conformal,54.86192578325879,4.94281405299452e-10,6
Moirai-1.1,DJCI,Scale,20.197216606258728,0.0025541633756938206,6
Moirai-1.1,DJCI,QR-Residual,51.21897315655138,2.6766846635744236e-09,6
Moirai-1.1,DJCI,Isotonic,56.467713923674054,2.3412178941481607e-10,6
Moirai-1.1,DJCI,Hist-Quantile,,,5
Moirai-1.1,DJCI,aci,28.2755450734223,8.337358100683432e-05,6
Moirai-1.1,DJCI,rolling,24.828232437301526,0.0003673828271952333,6
Moirai-1.1,DJCI,gamlss,51.25012469166005,2.638397950645356e-09,6
Moirai-1.1,DJCI,gbm,44.35743985631224,6.278571283218329e-08,6
Moirai-1.1,ETH,Raw,39.84632961575526,4.883094483962897e-07,6
Moirai-1.1,ETH,Conformal,9.722500012956123,0.13683512715997276,6
Moirai-1.1,ETH,Scale,9.722500012956147,0.13683512715997173,6
Moirai-1.1,ETH,QR-Residual,0.3400037011258977,0.9992787694572294,6
Moirai-1.1,ETH,Isotonic,47.29514014885776,1.6338919299329948e-08,6
Moirai-1.1,ETH,Hist-Quantile,,,5
Moirai-1.1,ETH,aci,16.439350103071167,0.011580334333940031,6
Moirai-1.1,ETH,rolling,2.3696013942148304,0.8827663977215199,6
Moirai-1.1,ETH,gamlss,,,2
Moirai-1.1,ETH,gbm,39.33003327350956,6.166647203841088e-07,6
Moirai-1.1,EURUSD,Raw,18.84972098226153,0.004425104174661398,6
Moirai-1.1,EURUSD,Conformal,18.84972098226156,0.0044251041746613436,6
Moirai-1.1,EURUSD,Scale,18.84972098226153,0.004425104174661398,6
Moirai-1.1,EURUSD,QR-Residual,7.915955059334901,0.24432556352708848,6
Moirai-1.1,EURUSD,Isotonic,59.355807513110214,6.08320908109412e-11,6
Moirai-1.1,EURUSD,Hist-Quantile,,,5
Moirai-1.1,EURUSD,aci,16.74303411980693,0.01027550510848854,6
Moirai-1.1,EURUSD,rolling,6.957094990255637,0.3248332779759384,6
Moirai-1.1,EURUSD,gamlss,14.335517703108316,0.026104738970408995,6
Moirai-1.1,EURUSD,gbm,6.67842371081847,0.3516124687876152,6
Moirai-1.1,FCHI,Raw,74.37791103920941,5.15448265236498e-14,6
Moirai-1.1,FCHI,Conformal,89.55195986767846,3.753976113621698e-17,6
Moirai-1.1,FCHI,Scale,76.54342974601917,1.845936075778191e-14,6
Moirai-1.1,FCHI,QR-Residual,67.12756551529631,1.5849306853758006e-12,6
Moirai-1.1,FCHI,Isotonic,90.30323650996775,2.6208916278268038e-17,6
Moirai-1.1,FCHI,Hist-Quantile,,,5
Moirai-1.1,FCHI,aci,78.43341536643034,7.524050845454405e-15,6
Moirai-1.1,FCHI,rolling,60.60706946387915,3.387987659696322e-11,6
Moirai-1.1,FCHI,gamlss,39.04319836631092,7.019394091044753e-07,6
Moirai-1.1,FCHI,gbm,77.90948801133985,9.650466505263398e-15,6
Moirai-1.1,FTSE100,Raw,60.07835915083418,4.3390143480856036e-11,6
Moirai-1.1,FTSE100,Conformal,50.0273133135996,4.642170134343794e-09,6
Moirai-1.1,FTSE100,Scale,50.0273133135996,4.642170134343794e-09,6
Moirai-1.1,FTSE100,QR-Residual,47.60006911088456,1.4202226948043704e-08,6
Moirai-1.1,FTSE100,Isotonic,39.05685508151365,6.976255688966736e-07,6
Moirai-1.1,FTSE100,Hist-Quantile,,,5
Moirai-1.1,FTSE100,aci,42.48199592334925,1.4767514838835437e-07,6
Moirai-1.1,FTSE100,rolling,53.943575312818965,7.572976586509086e-10,6
Moirai-1.1,FTSE100,gamlss,17.145374613088602,0.008763560933802546,6
Moirai-1.1,FTSE100,gbm,47.61205870229423,1.4124156968698116e-08,6
Moirai-1.1,GBPUSD,Raw,10.450892730750171,0.1069035574035746,6
Moirai-1.1,GBPUSD,Conformal,3.7815185044994246,0.7062144643820538,6
Moirai-1.1,GBPUSD,Scale,5.050073427653961,0.5374070730709033,6
Moirai-1.1,GBPUSD,QR-Residual,9.89554076005335,0.1291205131529869,6
Moirai-1.1,GBPUSD,Isotonic,10.212163017559327,0.11599704168269971,6
Moirai-1.1,GBPUSD,Hist-Quantile,,,5
Moirai-1.1,GBPUSD,aci,12.233816775707453,0.05695134803680069,6
Moirai-1.1,GBPUSD,rolling,4.767764895550299,0.5739253398792614,6
Moirai-1.1,GBPUSD,gamlss,8.1309618501331,0.2286649008157469,6
Moirai-1.1,GBPUSD,gbm,3.1534832737325784,0.7893512260987142,6
Moirai-1.1,GDAXI,Raw,48.92809255696506,7.707149623342212e-09,6
Moirai-1.1,GDAXI,Conformal,34.12885681409955,6.352727027939546e-06,6
Moirai-1.1,GDAXI,Scale,21.560840788510998,0.0014538937956327348,6
Moirai-1.1,GDAXI,QR-Residual,46.68825218565783,2.1590635974666705e-08,6
Moirai-1.1,GDAXI,Isotonic,40.21581582172272,4.131241629349261e-07,6
Moirai-1.1,GDAXI,Hist-Quantile,,,5
Moirai-1.1,GDAXI,aci,45.596529073612366,3.561773011976489e-08,6
Moirai-1.1,GDAXI,rolling,55.9173927049405,3.025088186337655e-10,6
Moirai-1.1,GDAXI,gamlss,10.079482466648392,0.12134450040125344,6
Moirai-1.1,GDAXI,gbm,124.14118796829891,2.1969316920712073e-24,6
Moirai-1.1,GLD,Raw,28.235511577582763,8.483544055955361e-05,6
Moirai-1.1,GLD,Conformal,16.528293898190302,0.011182488778025064,6
Moirai-1.1,GLD,Scale,20.958956444631745,0.001866027056172969,6
Moirai-1.1,GLD,QR-Residual,9.243658271267867,0.16033148825905036,6
Moirai-1.1,GLD,Isotonic,8.266796488472485,0.21920149450366244,6
Moirai-1.1,GLD,Hist-Quantile,,,5
Moirai-1.1,GLD,aci,11.912180751423286,0.06395686480207788,6
Moirai-1.1,GLD,rolling,3.926139190592051,0.6866712431682558,6
Moirai-1.1,GLD,gamlss,6.033675916710802,0.41942828066098414,6
Moirai-1.1,GLD,gbm,56.3502181311728,2.472922518780786e-10,6
Moirai-1.1,HSI,Raw,16.532161072969267,0.011165493110578188,6
Moirai-1.1,HSI,Conformal,22.158302741928054,0.0011334305951511364,6
Moirai-1.1,HSI,Scale,15.267989042193587,0.01827170127946927,6
Moirai-1.1,HSI,QR-Residual,14.75200786917897,0.022275759684743476,6
Moirai-1.1,HSI,Isotonic,18.673118851544107,0.004752822649697424,6
Moirai-1.1,HSI,Hist-Quantile,,,5
Moirai-1.1,HSI,aci,18.937342248628223,0.004270771325433276,6
Moirai-1.1,HSI,rolling,22.19899809324061,0.0011143203078712916,6
Moirai-1.1,HSI,gamlss,17.05951179602603,0.009067000194614925,6
Moirai-1.1,HSI,gbm,17.759646013746355,0.006861780262536669,6
Moirai-1.1,IBGL,Raw,16.76818672483818,0.010174032108459382,6
Moirai-1.1,IBGL,Conformal,18.631176482096624,0.004834055743353865,6
Moirai-1.1,IBGL,Scale,18.631176482096613,0.00483405574335389,6
Moirai-1.1,IBGL,QR-Residual,8.13748170081078,0.22820313062345782,6
Moirai-1.1,IBGL,Isotonic,7.318619552703039,0.29238371255493995,6
Moirai-1.1,IBGL,Hist-Quantile,,,5
Moirai-1.1,IBGL,aci,26.274618478714853,0.00019788375717328562,6
