model,asset,method,n_test,mean_var_pct,mean_loss_fraction_pct,ratio_to_raw
PatchTST-FM,ASX200,Raw,1868,2.380969634526898,2.338663899020775,1.0
PatchTST-FM,ASX200,Shift-CP,1868,2.8192293353512503,2.7657376487964815,1.1840677404991078
PatchTST-FM,ASX200,Shift-ERM,1868,2.814996329952108,2.7616216301063057,1.182289891114656
PatchTST-FM,ASX200,Vol-CP,1868,2.781324212153921,2.725433700017628,1.1681477041207937
PatchTST-FM,ASX200,Vol-ERM,1868,2.7849426282924656,2.728919824885614,1.1696674278863022
PatchTST-FM,ASX200,State2-ERM,1868,2.8017150213116904,2.745828751783648,1.176711781907456
PatchTST-FM,ASX200,State4-ERM,1868,2.783620038810258,2.7269729016521964,1.1691119443290874
PatchTST-FM,ASX200,State-L1,1868,2.8017150213116895,2.745828751783648,1.1767117819074557
PatchTST-FM,ASX200,POT-Shift,1868,2.8080606451039065,2.7548772487492537,1.179376924587227
PatchTST-FM,ASX200,POT-Vol,1868,2.801416476146666,2.7447892329195094,1.1765863938467704
PatchTST-FM,ASX200,Rolling250,1868,3.0173935186924803,2.954389484686338,1.26729609438805
PatchTST-FM,ASX200,Rolling500,1868,2.8593232214596216,2.801081966291921,1.2009070506385409
PatchTST-FM,ASX200,Selected-rolling,1868,3.0173935186924803,2.954389484686338,1.26729609438805
PatchTST-FM,ASX200,Gate-selected-rolling,1868,3.0173935186924803,2.954389484686338,1.26729609438805
PatchTST-FM,ASX200,Loss-gate,1868,2.380969634526898,2.338663899020775,1.0
PatchTST-FM,ASX200,Past-minimum,1868,2.7849426282924656,2.728919824885614,1.1696674278863022
PatchTST-FM,AUDUSD,Raw,1430,1.4089799299836159,1.3989170696931557,1.0
PatchTST-FM,AUDUSD,Shift-CP,1430,1.5350198384997726,1.5231154981797703,1.0894547224087303
PatchTST-FM,AUDUSD,Shift-ERM,1430,1.5156863474897662,1.5040746379954906,1.0757330996953172
PatchTST-FM,AUDUSD,Vol-CP,1430,1.527106096213669,1.5152863782357278,1.083838075842164
PatchTST-FM,AUDUSD,Vol-ERM,1430,1.5382789228301537,1.5262851674044993,1.0917678031425482
PatchTST-FM,AUDUSD,State2-ERM,1430,1.49371693974004,1.4823312409613238,1.0601406790495658
PatchTST-FM,AUDUSD,State4-ERM,1430,1.5684687399158848,1.5558006791260235,1.113194522177561
PatchTST-FM,AUDUSD,State-L1,1430,1.5156863474897662,1.5040746379954906,1.0757330996953172
PatchTST-FM,AUDUSD,POT-Shift,1430,1.5947952031538828,1.5819628251363762,1.1318792902695411
