model,asset,alpha,n_test,qV,pihat_raw,p_kup_raw,miscal_raw,QS_raw,QS_static,QS_roll,pihat_static,pihat_roll,TL_raw,TL_static,TL_roll,dQS_static,dQS_roll,rel_static,rel_roll
EWMA,BTC,0.01,1185,0.03155091532396696,0.02278481012658228,0.0001504969471975981,0.012784810126582278,0.0008857531603039411,0.0009464412107348626,0.0009262098887481222,0.002531645569620253,0.010126582278481013,Yellow,Green,Green,-6.068805043092152e-05,-4.045672844418108e-05,-0.06851575941326223,-0.04567494676541553
GJR-GARCH,DJCI,0.01,772,-0.004869171136419898,0.0038860103626943004,0.051317603064964135,0.0061139896373057,0.00029262791606873536,0.00033945134767097475,0.00030225941424375007,0.02849740932642487,0.012953367875647668,Green,Yellow,Green,-4.682343160223939e-05,-9.631498175014712e-06,-0.16001013242783385,-0.032913805027242754
Lag-Llama,BTC,0.01,1107,0.03684647219935443,0.01987353206865402,0.0036130258947458804,0.009873532068654019,0.000999164470846819,0.001042227311499624,0.001013574326326686,0.0027100271002710027,0.008130081300813009,Yellow,Green,Green,-4.3062840652804924e-05,-1.4409855479867017e-05,-0.04309885099928343,-0.014421905402275035
GARCH-N,BTC,0.01,1185,0.026398994484491095,0.024472573839662448,2.3775598187447677e-05,0.014472573839662448,0.0008923009576224596,0.0009188358910740888,0.0009165789096080368,0.0033755274261603376,0.007594936708860759,Yellow,Green,Green,-2.6534933451629185e-05,-2.427795198557724e-05,-0.029737649864605826,-0.027208254993097807
Hist-Sim,BTC,0.01,1185,0.014866964861652537,0.012658227848101266,0.37709967670186806,0.0026582278481012654,0.0008978535932375994,0.0009221359918628328,0.0009522359641327686,0.004219409282700422,0.009282700421940928,Green,Green,Green,-2.4282398625233336e-05,-5.438237089516913e-05,-0.027044942302533584,-0.06056930807512834
Moirai-1.1,ICLN,0.01,1185,0.004277296057696868,0.006751054852320675,0.23234634922960384,0.003248945147679325,0.0005550387535819144,0.0005732702587676912,0.000587358027030477,0.005063291139240506,0.00590717299578059,Green,Green,Green,-1.8231505185776738e-05,-3.231927344856257e-05,-0.032847265291154254,-0.05822885922828231
GJR-GARCH,BOVESPA,0.01,1873,-0.012060269601615013,0.0037373198077949813,0.0017883387665802442,0.006262680192205019,0.00047943511843842834,0.0004901340940950936,0.0004765003905379096,0.02189001601708489,0.00800854244527496,Green,Yellow,Green,-1.069897565666528e-05,2.9347279005187323e-06,-0.02231579466166974,0.006121220135223837
GARCH-N,ICLN,0.01,1263,0.005742539727872711,0.010292953285827395,0.9170608870431668,0.00029295328582739505,0.0005366870088411188,0.0005452326784383821,0.0006045187700021534,0.00791765637371338,0.007125890736342043,Green,Green,Green,-8.545669597263264e-06,-6.783176116103456e-05,-0.015923004388938226,-0.12638979525050423
Moirai-1.1,STOXX,0.01,1498,0.005542742937445628,0.012683578104138851,0.3162527863368554,0.002683578104138851,0.00036895017958447316,0.0003770027572816473,0.000416745289324351,0.0053404539385847796,0.00801068090787717,Green,Green,Green,-8.052577697174152e-06,-4.779510973987783e-05,-0.02182565056952485,-0.12954353293365148
Moirai-1.1,NIFTY,0.01,1208,0.0016620239980940192,0.006622516556291391,0.20873921665965145,0.0033774834437086095,0.0003006159318291033,0.0003086527463972572,0.000318412378758208,0.0041390728476821195,0.0074503311258278145,Green,Green,Green,-8.03681456815387e-06,-1.7796446929104718e-05,-0.026734493142973895,-0.05919994599362017
GARCH-N,AUDUSD,0.01,1473,0.003133816041032066,0.014256619144602852,0.12276247263744855,0.004256619144602852,0.00020429812225386968,0.00021200179710744889,0.00022641249360166253,0.0033944331296673455,0.00746775288526816,Green,Green,Green,-7.703674853579205e-06,-2.2114371347792846e-05,-0.037708006165647893,-0.10824559278284786
EWMA,IBGL,0.01,1305,0.004392990445541459,0.013026819923371647,0.29370800207293224,0.0030268199233716465,0.00022796808075843878,0.00023493583967814743,0.00023470220753249484,0.0038314176245210726,0.006130268199233717,Green,Green,Green,-6.967758919708655e-06,-6.734126774056063e-06,-0.03056462508491214,-0.029539779216686605
Moirai-1.1,HSI,0.01,1784,0.004184682313436862,0.01233183856502242,0.3395375912110068,0.0023318385650224205,0.0005431372732660057,0.0005500623864332927,0.0006202166447499077,0.004484304932735426,0.00616591928251121,Green,Green,Green,-6.92511316728703e-06,-7.707937148390199e-05,-0.012750207927444895,-0.14191508349336165
Hist-Sim,AUDUSD,0.01,1473,0.003552092288656933,0.010183299389002037,0.9438021208866881,0.0001832993890020368,0.00022151142781300554,0.0002281941000580951,0.00025167092973914153,0.006109979633401222,0.010862186014935505,Green,Green,Green,-6.682672245089552e-06,-3.0159501926135996e-05,-0.030168521376381985,-0.13615325504377995
Moirai-1.1,CBU0,0.01,976,0.0017071349745451945,0.009221311475409836,0.8043329241492715,0.0007786885245901643,0.00015404954827538024,0.00016045185843156703,0.00016152071788487845,0.0030737704918032786,0.005122950819672131,Green,Green,Green,-6.402310156186782e-06,-7.4711696094982094e-06,-0.04156007095030204,-0.048498484371682055
GARCH-N,IBGL,0.01,1305,0.0031866086808751484,0.012260536398467433,0.4279575501884225,0.002260536398467433,0.00022882559248993742,0.00023420201079138073,0.0002326083059857026,0.004597701149425287,0.009195402298850575,Green,Green,Green,-5.376418301443313e-06,-3.7827134957651813e-06,-0.023495703618378,-0.01653098962665868
Moirai-1.1,IBGL,0.01,1226,0.0021507646889076214,0.011419249592169658,0.625272163187699,0.001419249592169658,0.00028089330264440254,0.00028360843158904773,0.00027756273095212475,0.00734094616639478,0.008156606851549755,Green,Green,Green,-2.715128944645194e-06,3.3305716922777838e-06,-0.009666050842381304,0.011857070499449137
Moirai-1.1,AUDUSD,0.01,1395,0.0006695114135569936,0.0064516129032258064,0.1543087129769588,0.0035483870967741938,0.00022378350232358602,0.00022629405735476272,0.00024107827616942905,0.005734767025089606,0.008602150537634409,Green,Green,Green,-2.5105550311767006e-06,-1.7294773845843037e-05,-0.011218677896757972,-0.07728350689960681
