ckpt,asset,date,config,n_distinct
small,SP500,2006-01-10,default,50
small,SP500,2008-04-08,default,50
small,SP500,2010-07-01,default,50
small,SP500,2012-09-24,default,50
small,SP500,2014-12-19,default,50
small,SP500,2017-03-17,default,50
small,SP500,2019-06-13,default,50
small,SP500,2021-09-07,default,50
small,SP500,2023-12-01,default,50
small,SP500,2026-03-05,default,50
small,SP500,2006-01-10,top_k=4094,523
small,SP500,2008-04-08,top_k=4094,629
small,SP500,2010-07-01,top_k=4094,570
small,SP500,2012-09-24,top_k=4094,455
small,SP500,2014-12-19,top_k=4094,597
small,SP500,2017-03-17,top_k=4094,465
small,SP500,2019-06-13,top_k=4094,567
small,SP500,2021-09-07,top_k=4094,392
small,SP500,2023-12-01,top_k=4094,474
small,SP500,2026-03-05,top_k=4094,492
small,SP500,2006-01-10,top_k=10,10
small,SP500,2008-04-08,top_k=10,10
small,SP500,2010-07-01,top_k=10,10
small,SP500,2012-09-24,top_k=10,10
small,SP500,2014-12-19,top_k=10,10
small,SP500,2017-03-17,top_k=10,10
small,SP500,2019-06-13,top_k=10,10
small,SP500,2021-09-07,top_k=10,10
small,SP500,2023-12-01,top_k=10,10
small,SP500,2026-03-05,top_k=10,10
small,EURUSD,2009-10-21,default,50
small,EURUSD,2011-08-15,default,50
small,EURUSD,2013-06-07,default,50
small,EURUSD,2015-04-03,default,50
small,EURUSD,2017-01-25,default,50
small,EURUSD,2018-11-22,default,50
small,EURUSD,2020-09-16,default,50
small,EURUSD,2022-07-12,default,50
small,EURUSD,2024-05-03,default,50
small,EURUSD,2026-03-05,default,50
small,EURUSD,2009-10-21,top_k=4094,401
small,EURUSD,2011-08-15,top_k=4094,579
small,EURUSD,2013-06-07,top_k=4094,516
small,EURUSD,2015-04-03,top_k=4094,615
small,EURUSD,2017-01-25,top_k=4094,519
small,EURUSD,2018-11-22,top_k=4094,525
small,EURUSD,2020-09-16,top_k=4094,508
small,EURUSD,2022-07-12,top_k=4094,553
small,EURUSD,2024-05-03,top_k=4094,512
small,EURUSD,2026-03-05,top_k=4094,539
small,EURUSD,2009-10-21,top_k=10,10
small,EURUSD,2011-08-15,top_k=10,10
small,EURUSD,2013-06-07,top_k=10,10
small,EURUSD,2015-04-03,top_k=10,10
small,EURUSD,2017-01-25,top_k=10,10
small,EURUSD,2018-11-22,top_k=10,10
small,EURUSD,2020-09-16,top_k=10,10
small,EURUSD,2022-07-12,top_k=10,10
small,EURUSD,2024-05-03,top_k=10,10
small,EURUSD,2026-03-05,top_k=10,10
mini,SP500,2006-01-10,default,50
mini,SP500,2008-04-08,default,50
mini,SP500,2010-07-01,default,50
mini,SP500,2012-09-24,default,50
mini,SP500,2014-12-19,default,50
mini,SP500,2017-03-17,default,50
mini,SP500,2019-06-13,default,50
mini,SP500,2021-09-07,default,50
mini,SP500,2023-12-01,default,50
mini,SP500,2026-03-05,default,50
mini,SP500,2006-01-10,top_k=4094,521
mini,SP500,2008-04-08,top_k=4094,648
mini,SP500,2010-07-01,top_k=4094,503
mini,SP500,2012-09-24,top_k=4094,399
mini,SP500,2014-12-19,top_k=4094,624
mini,SP500,2017-03-17,top_k=4094,450
mini,SP500,2019-06-13,top_k=4094,577
mini,SP500,2021-09-07,top_k=4094,331
mini,SP500,2023-12-01,top_k=4094,452
mini,SP500,2026-03-05,top_k=4094,498
mini,SP500,2006-01-10,top_k=10,10
mini,SP500,2008-04-08,top_k=10,10
mini,SP500,2010-07-01,top_k=10,10
mini,SP500,2012-09-24,top_k=10,10
mini,SP500,2014-12-19,top_k=10,10
mini,SP500,2017-03-17,top_k=10,10
mini,SP500,2019-06-13,top_k=10,10
mini,SP500,2021-09-07,top_k=10,10
mini,SP500,2023-12-01,top_k=10,10
mini,SP500,2026-03-05,top_k=10,10
mini,EURUSD,2009-10-21,default,50
mini,EURUSD,2011-08-15,default,50
mini,EURUSD,2013-06-07,default,50
mini,EURUSD,2015-04-03,default,50
mini,EURUSD,2017-01-25,default,50
mini,EURUSD,2018-11-22,default,50
mini,EURUSD,2020-09-16,default,50
mini,EURUSD,2022-07-12,default,50
mini,EURUSD,2024-05-03,default,50
mini,EURUSD,2026-03-05,default,50
mini,EURUSD,2009-10-21,top_k=4094,376
mini,EURUSD,2011-08-15,top_k=4094,562
mini,EURUSD,2013-06-07,top_k=4094,519
mini,EURUSD,2015-04-03,top_k=4094,580
mini,EURUSD,2017-01-25,top_k=4094,516
mini,EURUSD,2018-11-22,top_k=4094,514
mini,EURUSD,2020-09-16,top_k=4094,530
mini,EURUSD,2022-07-12,top_k=4094,569
mini,EURUSD,2024-05-03,top_k=4094,499
mini,EURUSD,2026-03-05,top_k=4094,523
mini,EURUSD,2009-10-21,top_k=10,10
mini,EURUSD,2011-08-15,top_k=10,10
mini,EURUSD,2013-06-07,top_k=10,10
mini,EURUSD,2015-04-03,top_k=10,10
mini,EURUSD,2017-01-25,top_k=10,10
mini,EURUSD,2018-11-22,top_k=10,10
mini,EURUSD,2020-09-16,top_k=10,10
mini,EURUSD,2022-07-12,top_k=10,10
mini,EURUSD,2024-05-03,top_k=10,10
mini,EURUSD,2026-03-05,top_k=10,10
