n_test,qV,pihat_raw,pihat_cp,p_kup_raw,p_kup_cp,QS_raw,QS_cp,TL_raw,TL_cp,dQS,model,asset,w,convergence_failures,n_fits
1902,0.003426103901681441,0.021556256572029444,0.013144058885383806,1.128696560159792e-05,0.18863455461361245,0.0004140340102379444,0.00038995187429492946,Yellow,Green,2.408213594301496e-05,GJR-GARCH,SP500,250,0,6340
1827,0.002953606777400735,0.019704433497536946,0.013136288998357963,0.00023241705818421998,0.1986519192845151,0.00040230032005682205,0.0003838806657196448,Yellow,Green,1.8419654337177257e-05,GJR-GARCH,SP500,500,0,6090
1678,0.0033943873837104597,0.02026221692491061,0.010727056019070322,0.00020783682930358705,0.7673510752299779,0.0004146660149751925,0.0003972502853115991,Yellow,Green,1.741572966359339e-05,GJR-GARCH,SP500,1000,0,5590
1902,0.004796365672571577,0.02103049421661409,0.011566771819137749,2.5248725457949206e-05,0.5028197031201949,0.0004188815492499239,0.0003934865355575135,Yellow,Green,2.5395013692410375e-05,GARCH-N,SP500,250,0,6340
1827,0.003889170987022265,0.021346469622331693,0.011494252873563218,2.296620746955469e-05,0.530659016570183,0.00041406373036165185,0.00039406340096201066,Yellow,Green,2.0000329399641188e-05,GARCH-N,SP500,500,0,6090
1678,0.004340721399330512,0.023837902264600714,0.01132300357568534,1.3285525383155417e-06,0.5937560255795992,0.00042402032021348794,0.0004020179166752681,Yellow,Green,2.2002403538219845e-05,GARCH-N,SP500,1000,0,5590
1902,0.004258299567813324,0.024710830704521555,0.015247108307045216,5.6045042162722325e-08,0.03277171273501722,0.0004788847652944949,0.00043549756431224105,Yellow,Green,4.3387200982253826e-05,EWMA,SP500,250,0,6340
1827,0.00443115038045514,0.0240831964969896,0.014230979748221127,2.9940485590795873e-07,0.08745730605462143,0.00047095067660596254,0.0004302953081364698,Yellow,Green,4.065536846949272e-05,EWMA,SP500,500,0,6090
1678,0.0048005705554451765,0.02443384982121573,0.013706793802145411,5.24280795222154e-07,0.14851689917337474,0.0004823109201767083,0.00043883792437922987,Yellow,Green,4.3472995797478404e-05,EWMA,SP500,1000,0,5590
1902,0.003282584740003286,0.017350157728706624,0.013669821240799159,0.0035297881228083527,0.12760586028236054,0.0005581691664894074,0.0005402445365878235,Yellow,Green,1.792462990158391e-05,Hist-Sim,SP500,250,0,6340
1827,0.0039001674268615352,0.014778325123152709,0.010399562123700055,0.05528945466125412,0.8645903024672823,0.0005979133281346714,0.0005889157035381116,Green,Green,8.997624596559757e-06,Hist-Sim,SP500,500,0,6090
1678,0.005001575750808819,0.014898688915375448,0.007151370679380214,0.06008099344506179,0.21656391447710122,0.0006044221625348754,0.0005964875337466898,Green,Green,7.934628788185604e-06,Hist-Sim,SP500,1000,0,5590
1577,0.003044563402734877,0.022828154724159798,0.013316423589093214,1.157105064497621e-05,0.20777142523648595,0.00038810245554267127,0.0003664046394788033,Yellow,Green,2.169781606386795e-05,GJR-GARCH,STOXX,250,0,5255
1502,0.00471270202421363,0.02130492676431425,0.011318242343541944,0.00013003712139303403,0.6150534784514259,0.0003626467095084651,0.0003442499289967063,Yellow,Green,1.83967805117588e-05,GJR-GARCH,STOXX,500,0,5005
